,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Cluster Label,Rating,Tips Count
82,Hamilton Heights,40.823604284811935,-73.94968791883366,Frijolito's,40.823413,-73.952278,Mexican Restaurant,575a15f6498e0db46deded82,-1,8.1,7
83,Hamilton Heights,40.823604284811935,-73.94968791883366,Geisha Japanese Cuisine,40.82435478003349,-73.95199336185046,Japanese Restaurant,531a0207498e06b4656eb8c5,-1,8.0,15
84,Hamilton Heights,40.823604284811935,-73.94968791883366,Trufa,40.82308361212954,-73.95295214762749,Mediterranean Restaurant,4da8ee246e81162ae7b15710,-1,8.1,48
85,Hamilton Heights,40.823604284811935,-73.94968791883366,One Stop Patty Shop,40.825013866091766,-73.94772136347088,Caribbean Restaurant,4a7a35faf964a520dee81fe3,-1,7.7,10
86,Hamilton Heights,40.823604284811935,-73.94968791883366,Clove Indian Restaurant & Bar,40.82128,-73.95062,Indian Restaurant,54c2bd96498eaf5142e3fe92,-1,7.7,17
87,Hamilton Heights,40.823604284811935,-73.94968791883366,Chopped Parsley,40.82591096574316,-73.94745379686356,Sushi Restaurant,5674592d498e85f07427e61b,-1,7.9,6
88,Hamilton Heights,40.823604284811935,-73.94968791883366,La Nueva Flor de Broadway,40.82189559079043,-73.95378234193336,Latin American Restaurant,4a177beff964a5205e791fe3,-1,8.3,16
89,Hamilton Heights,40.823604284811935,-73.94968791883366,Famous Fish Market,40.82364789395268,-73.9447233080864,Seafood Restaurant,4ae34b92f964a520f99221e3,-1,7.7,52
90,Hamilton Heights,40.823604284811935,-73.94968791883366,Mumbai Masala,40.826928,-73.946713,Indian Restaurant,5914ff32b23dfa207eca38de,-1,7.6,7
91,Hamilton Heights,40.823604284811935,-73.94968791883366,King's Wok,40.827566104011005,-73.94976562795797,Chinese Restaurant,4cd76fd7dfb4a1cd7195645c,-1,7.5,4
92,Hamilton Heights,40.823604284811935,-73.94968791883366,MamaSushi,40.82739211030812,-73.94983923676227,Sushi Restaurant,577875a2498e0a21a3ef1a97,-1,7.2,3
93,Hamilton Heights,40.823604284811935,-73.94968791883366,Agave Mexican & American Grill,40.82421022050914,-73.94522172573167,Mexican Restaurant,534aace3498e249ceb4111dc,-1,7.1,8
94,Hamilton Heights,40.823604284811935,-73.94968791883366,La Cocinita Latina,40.82424321642926,-73.94521556015746,Latin American Restaurant,4a41c63cf964a52096a51fe3,-1,7.0,8
95,Hamilton Heights,40.823604284811935,-73.94968791883366,Golden Wok,40.826960496307706,-73.94640130797958,Chinese Restaurant,4c0b25636071a59342ece032,-1,6.9,5
96,Hamilton Heights,40.823604284811935,-73.94968791883366,Checkers,40.82399309120629,-73.94505017947267,Fast Food Restaurant,52463a94498eeb73e959e43b,-1,5.9,7
97,Manhattanville,40.8169344294978,-73.9573853935188,Jin Ramen,40.815406172563904,-73.95854739270733,Ramen Restaurant,4f29cf06e4b022d4180801f3,-1,8.3,185
98,Manhattanville,40.8169344294978,-73.9573853935188,Go! Go! Curry!,40.81547267978402,-73.95823441394805,Japanese Curry Restaurant,57a4cbac498ee795c5d0b864,-1,7.6,6
99,Manhattanville,40.8169344294978,-73.9573853935188,Pisticci Ristorante,40.81401515598367,-73.9602659078139,Italian Restaurant,457f1183f964a5204b3f1fe3,-1,9.0,146
100,Manhattanville,40.8169344294978,-73.9573853935188,El Porton,40.81439947957596,-73.95932994222076,Mexican Restaurant,4acfe332f964a520afd620e3,-1,8.0,24
101,Manhattanville,40.8169344294978,-73.9573853935188,El Puerto Seafood and Fish Market,40.813861024837166,-73.95673661274444,Seafood Restaurant,4b92dc43f964a5204c2234e3,-1,7.9,23
102,Manhattanville,40.8169344294978,-73.9573853935188,Chapati House - NYC,40.81457249971737,-73.95915381671377,Indian Restaurant,529d382a11d2dd5ef107e641,-1,7.6,18
103,Manhattanville,40.8169344294978,-73.9573853935188,Bettolona,40.81408384945623,-73.95957422392542,Italian Restaurant,4c956003f7cfa1cd2e2ebd15,-1,7.8,39
104,Manhattanville,40.8169344294978,-73.9573853935188,La Salle Dumpling Room,40.81405982513547,-73.95970095977188,Dumpling Restaurant,56c51b0dcd101a6260e3c543,-1,7.8,21
105,Manhattanville,40.8169344294978,-73.9573853935188,Sushi Sushi,40.81855014925793,-73.95273086623575,Sushi Restaurant,51573e61e4b06ee00f00307b,-1,8.1,28
106,Manhattanville,40.8169344294978,-73.9573853935188,El Tina Restaurant,40.813924,-73.956315,Latin American Restaurant,4bc0f0cb74a9a5938d03d1f6,-1,7.6,2
107,Manhattanville,40.8169344294978,-73.9573853935188,Chinelos,40.82019,-73.953769,Mexican Restaurant,4bd4e5076798ef3b92a6628d,-1,8.1,7
108,Manhattanville,40.8169344294978,-73.9573853935188,Falafel on Broadway,40.814438358419125,-73.95925145225897,Falafel Restaurant,4d5f3846922960fc13e2618b,-1,7.3,20
109,Manhattanville,40.8169344294978,-73.9573853935188,Toast 125,40.81486,-73.9594,American Restaurant,3fd66200f964a52067e81ee3,-1,7.2,56
110,Manhattanville,40.8169344294978,-73.9573853935188,Mofongo del Valle,40.8203172000128,-73.95497729240167,Spanish Restaurant,4b55274bf964a52006dd27e3,-1,7.5,6
111,Manhattanville,40.8169344294978,-73.9573853935188,Loui Loui Louisiana Seafood,40.8142168897983,-73.95945001739813,Seafood Restaurant,59640515c9a51721665f8839,-1,7.2,2
112,Manhattanville,40.8169344294978,-73.9573853935188,China Place,40.81403821530296,-73.95954897357637,Chinese Restaurant,4b21974df964a520833e24e3,-1,6.6,6
113,Manhattanville,40.8169344294978,-73.9573853935188,Harlem's Floridita,40.817998,-73.960982,Cuban Restaurant,50cd10ffe4b0981e0a1a1c9e,-1,6.4,39
114,Manhattanville,40.8169344294978,-73.9573853935188,Crown Chicken,40.820766,-73.95513299999999,Fast Food Restaurant,51904cf0498eb3136bb5e72f,-1,,1
115,Central Harlem,40.81597606742414,-73.94321112603905,Belle Harlem,40.81689,-73.94268,American Restaurant,57f9286fcd10f93045e82291,-1,8.5,7
116,Central Harlem,40.81597606742414,-73.94321112603905,Yatenga,40.81430599659326,-73.94442992027335,French Restaurant,4b80389ff964a520e95d30e3,-1,8.6,62
117,Central Harlem,40.81597606742414,-73.94321112603905,Ponty Bistro Harlem,40.81788580529937,-73.9415220349791,African Restaurant,53e01975498e78c0915599bf,-1,8.6,31
118,Central Harlem,40.81597606742414,-73.94321112603905,Abyssinia Restaurant,40.8163080569632,-73.9460538576632,Ethiopian Restaurant,4f777eb7e4b055c760bb7d39,-1,8.1,14
119,Central Harlem,40.81597606742414,-73.94321112603905,Renaissance Harlem,40.81341373965783,-73.94498356642218,French Restaurant,59cc6158c0af57432b9fd02b,-1,8.2,3
120,Central Harlem,40.81597606742414,-73.94321112603905,Keur Sokhna,40.81355599557865,-73.94500077822643,African Restaurant,4c2fdced452620a120551e0f,-1,7.8,8
121,Central Harlem,40.81597606742414,-73.94321112603905,The Edge Harlem,40.819691575695686,-73.94607292237941,American Restaurant,541c683e498ef421d4e16eb3,-1,9.1,62
122,Central Harlem,40.81597606742414,-73.94321112603905,88 Chinese Restaurant,40.81318684305849,-73.94146699347901,Chinese Restaurant,4bd1f6909854d13a38a2fa4d,-1,7.6,4
